true,prediction
5.0,5.299382
5.0,5.004269
5.0,4.99644
8.823909,7.9184785
5.0,5.277623
5.0,5.286505
5.5686364,5.8759003
5.0,5.1202507
5.0,5.2084846
5.0,4.990702
5.0,4.996206
5.0,4.9971604
5.0,4.99701
7.481486,6.26145
5.0,5.024252
5.0,4.9670205
9.431798,9.029568
5.0,5.6104584
5.0,4.996206
5.0,4.996805
5.0,5.0405245
5.0,4.996206
5.0,4.996206
5.0,4.9843054
5.0,5.0328965
5.0,5.1490784
5.958607,5.3745165
5.0,5.0320654
5.0,4.871006
6.337242,5.0441837
5.7212462,7.703246
6.6382723,6.233762
5.7212462,5.4003882
5.0,4.996346
8.30103,8.164767
5.0,5.0350018
5.0,5.277073
6.3565474,5.00048
5.0,5.0002832
6.6777806,5.0162573
5.0,5.0079956
7.7447276,5.443331
5.387216,5.5118465
5.0,5.7425165
5.0,5.004015
5.0,4.996206
5.0,4.996206
5.0,5.0031857
5.0,4.9954653
5.0,4.996206
7.2839966,7.4197946
5.0,4.996922
5.0,5.015192
5.0,5.256704
5.4317985,5.4190636
5.0,5.8713613
5.0,5.687434
5.0,4.996206
5.0,5.002542
5.0,5.137636
5.0,5.050075
5.0,5.0284476
5.0,5.0025964
5.0,4.9968
5.0,4.999363
5.0,5.000468
5.0,5.011331
7.69897,7.38899
5.0,4.9994464
5.0,4.996206
6.4089355,5.2108054
5.4436975,6.289559
5.0,5.0372524
5.0,5.501556
5.0,4.996206
8.958608,8.233093
5.0,4.996206
5.0,4.996206
5.0,4.9856696
6.0132284,6.7823553
5.0,4.9816146
5.0,5.0110254
5.3467875,5.241672
5.2676063,6.146244
5.0,4.9983697
6.49485,6.0064297
5.0,4.996206
5.0,5.0006886
5.0,5.0205073
5.0,4.9914265
5.0,4.9885216
5.0,4.9974556
5.0,5.431035
5.0,4.996941
5.0,5.021711
5.0,4.996206
5.920819,6.2920446
5.0,4.996206
5.0,4.9969497
6.823909,6.428556
5.0,5.0090685
6.3665314,6.497142
6.6777806,6.2663245
5.0,5.0474696
5.0,4.996206
5.0,4.9966416
5.0,4.9971113
5.0,5.005036
6.481486,6.407568
7.21467,6.3799663
5.0,4.996206
5.0,4.9999332
5.0,5.2089067
5.0,5.016052
5.0,5.1075387
5.0,5.1522326
5.0,4.999943
6.958607,7.8915787
5.0,4.996615
6.4436975,6.3159237
5.0,4.9809256
5.5086384,5.7177005
5.0,4.996467
5.0,5.1680727
5.207608,5.31115
5.0,5.438593
5.0,4.9944997
5.0,4.996206
5.0,5.1307955
5.0,4.996206
7.221849,8.122241
5.0,5.004644
5.0,5.007366
5.0,4.996206
5.0,4.996344
5.0,4.997178
6.4089355,8.904171
5.0,4.9972086
5.275724,5.3899174
6.7212462,6.922652
5.251812,5.9427743
5.0,4.9930053
5.0,4.996206
5.0,5.045729
5.0,5.02566
5.0,4.95577
6.09691,5.613995
5.0,5.0014896
5.0,4.996206
5.0,5.0035706
6.7447276,6.87728
5.920819,5.296748
5.0,4.996206
5.0,4.996328
5.0,5.033524
5.0,4.996206
5.0,5.003881
5.0,4.996206
5.0,5.1357985
5.0,5.008352
5.0,4.996754
5.0,4.972724
5.0,4.9964914
5.0,4.996206
5.0,5.136558
5.5086384,4.9982505
5.7695513,5.1438193
5.0,4.996206
5.0,5.0046587
5.0,4.995479
6.552842,7.118215
6.070581,6.2635803
5.0,5.012584
5.0,5.0073285
5.0,4.976287
6.070581,6.125597
5.0,5.449632
5.0,4.996356
5.0,4.997395
5.0,5.0015373
6.337242,6.812823
6.3665314,6.3569117
7.091515,6.4542093
5.6382723,4.997491
5.0,5.181106
5.0,4.996206
5.0,5.1735134
5.0,4.9994674
5.0,5.031201
6.309804,6.0885673
5.0,4.996206
5.0,4.999314
5.0,5.1539645
5.0,5.022673
5.0,4.9933457
5.468521,5.220428
5.0,4.996206
5.0,4.986382
5.481486,5.79472
5.0,4.9978375
5.0,4.9915695
5.0,4.997531
5.0,4.996206
5.7212462,5.3951535
5.0,4.997319
5.0,5.175951
5.1870866,5.1854157
5.5228786,5.859442
5.0,5.016647
5.0,5.004297
5.0,4.9984202
5.8860564,6.2504983
6.1191864,6.4070253
5.0,5.165244
5.0,5.1022058
5.0,4.993127
5.4317985,5.2956233
7.2006593,6.933985
5.0,5.00205
5.0,4.9965873
5.0,4.997839
5.455932,5.8096867
5.0,5.4096336
