true,prediction
14.400163,13.397905
12.399998,12.435659
11.400001,11.355491
10.1,10.406832
12.699998,11.317595
11.5,11.539107
11.900001,11.876987
11.3,11.618764
9.79897,10.400073
11.5,11.517692
14.700326,14.517793
12.599997,13.0480385
11.7,11.728187
12.499997,13.100697
15.170581,14.105924
11.599999,11.618829
13.999974,12.6655035
11.2,11.212341
13.200015,12.28123
11.999998,12.0602665
11.1,11.157868
11.1,11.257021
11.1,11.128946
11.400001,11.541502
11.1,11.116598
12.399998,12.048116
11.427902,12.039928
11.3,11.2127
11.2,11.158319
10.40103,10.560904
11.7,11.837655
11.900001,11.910873
10.622879,10.656071
13.1,12.899169
12.199999,11.748258
10.622879,11.094578
11.2,11.203215
11.2,11.213761
11.2,11.187978
11.900001,11.908744
12.1,10.385679
11.3,11.34332
11.8,12.411596
11.543697,11.637071
9.79897,9.871037
11.1,11.834379
10.4,11.075455
11.900001,11.898069
11.2,11.207627
12.383997,12.1945305
10.5,10.41542
11.2,11.204978
11.8,11.722506
11.3,11.307799
11.5,11.596348
11.999998,12.160674
13.000009,12.498596
11.1,11.12624
11.923909,11.665669
11.5,11.512755
11.1,11.163624
11.5,11.46872
11.900001,12.034444
11.1,11.268666
11.3,11.315706
12.399998,12.100455
10.1,10.144578
12.399998,12.199325
10.622879,10.737603
11.2,11.373869
11.400001,11.954939
11.5,11.481863
11.599999,11.589637
10.622879,10.705914
13.299971,12.251289
11.400001,11.4415
11.29382,11.05045
11.7,11.753562
11.2,11.19382
11.2,11.481496
11.1,11.273384
10.095678,9.988625
11.900001,11.898406
11.1,11.120111
14.299971,12.260811
12.05546,12.762384
11.1,11.770273
11.1,11.0891905
12.499997,12.06043
11.599999,11.574746
11.2,11.27632
11.7,11.707242
11.5,11.455261
11.5,11.458938
11.999998,12.02805
11.2,11.219019
10.6,11.088963
11.2,11.220887
12.199999,12.799253
11.400001,11.377375
11.2,11.221943
11.3,11.369673
11.900001,12.117924
11.3,11.865879
11.2,11.160053
11.466532,11.240072
11.999998,11.729731
11.7,11.274856
11.7,11.9189205
11.2,11.192638
11.1,11.132587
12.899998,12.9516
11.999998,12.007646
11.1,11.123277
11.177759,11.1758175
11.900001,11.573724
11.1,11.311732
14.1,13.8634205
12.359637,12.455911
11.3,11.466817
11.900001,11.9290495
11.7,11.692412
12.699998,12.119154
11.2,12.131412
13.299971,12.298677
13.855032,14.028004
12.299998,12.33794
14.500117,13.353304
11.2,11.190373
11.3,11.32172
12.1,12.616775
11.2,11.19697
11.999998,11.901839
11.759556,12.23279
11.1,11.101905
11.2,11.164485
11.999998,11.984368
10.70206,10.682741
11.3,12.327268
11.599999,11.854416
13.500008,13.47258
12.799992,12.672223
13.399989,13.46677
11.3,11.602773
10.7,12.011668
13.500008,13.594873
11.2,11.171925
11.3,11.294423
11.1,11.068862
11.5,11.450443
11.5,11.451039
13.622879,12.898944
11.999998,12.072656
11.108774,11.110808
11.1,11.124028
11.3,11.278624
11.599999,11.609116
11.2,11.226101
11.5,11.525805
11.599999,11.79185
11.1,11.118589
11.900001,11.49564
11.599999,12.614883
13.999974,13.62168
12.1,11.989428
11.1,11.155456
12.399998,11.525969
11.8,11.86277
11.900001,11.91423
12.199999,11.745042
